"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"scale-free" 1 1018 20 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 20 "DBGlasso_FDR" 0 398 0 39602 0
"chain" 1 1018 1 "Nlasso_JOE(AND)" 0 10 388 39602 0.987277353689567
"chain" 1 1018 1 "Nlasso_JOE(OR)" 82 10 388 39520 0.894009216589862
"chain" 1 1018 1 "Nlasso(AND)" 60 2 396 39542 0.927400468384075
"chain" 1 1018 1 "Nlasso(OR)" 232 2 396 39370 0.771929824561403
"chain" 1 1018 1 "Glasso" 518 0 398 39084 0.605783866057839
"chain" 1 1018 1 "DBGlasso_Holm" 0 398 0 39602 0
"chain" 1 1018 1 "DBGlasso_FDR" 0 398 0 39602 0
"star" 1 1018 1 "Nlasso_JOE(AND)" 38 46 334 39582 0.888297872340426
"star" 1 1018 1 "Nlasso_JOE(OR)" 142 38 342 39478 0.791666666666667
"star" 1 1018 1 "Nlasso(AND)" 190 28 352 39430 0.76355748373102
"star" 1 1018 1 "Nlasso(OR)" 392 16 364 39228 0.640845070422535
"star" 1 1018 1 "Glasso" 322 6 374 39298 0.695167286245353
"star" 1 1018 1 "DBGlasso_Holm" 0 380 0 39620 0
"star" 1 1018 1 "DBGlasso_FDR" 0 380 0 39620 0
"small-world" 2 366 1 "Nlasso_JOE(AND)" 26 102 298 39574 0.823204419889503
"small-world" 2 366 1 "Nlasso_JOE(OR)" 314 54 346 39286 0.652830188679245
"small-world" 2 366 1 "Nlasso(AND)" 1712 20 380 37888 0.304975922953451
"small-world" 2 366 1 "Nlasso(OR)" 1526 14 386 38074 0.333910034602076
"small-world" 2 366 1 "Glasso" 808 28 372 38792 0.470886075949367
"small-world" 2 366 1 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 2 366 1 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 2 366 2 "Nlasso_JOE(AND)" 62 86 314 39538 0.809278350515464
"small-world" 2 366 2 "Nlasso_JOE(OR)" 300 52 348 39300 0.66412213740458
"small-world" 2 366 2 "Nlasso(AND)" 1602 22 378 37998 0.317647058823529
"small-world" 2 366 2 "Nlasso(OR)" 1490 18 382 38110 0.336267605633803
"small-world" 2 366 2 "Glasso" 776 28 372 38824 0.48062015503876
"small-world" 2 366 2 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 2 366 2 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 2 366 3 "Nlasso_JOE(AND)" 46 102 298 39554 0.801075268817204
"small-world" 2 366 3 "Nlasso_JOE(OR)" 362 52 348 39238 0.627027027027027
"small-world" 2 366 3 "Nlasso(AND)" 1620 28 372 37980 0.311036789297659
"small-world" 2 366 3 "Nlasso(OR)" 1478 14 386 38122 0.340989399293286
"small-world" 2 366 3 "Glasso" 837 26 374 38763 0.464307883302297
"small-world" 2 366 3 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 2 366 3 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 2 366 4 "Nlasso_JOE(AND)" 44 106 294 39556 0.796747967479675
"small-world" 2 366 4 "Nlasso_JOE(OR)" 274 62 338 39326 0.66798418972332
"small-world" 2 366 4 "Nlasso(AND)" 1532 24 376 38068 0.325823223570191
"small-world" 2 366 4 "Nlasso(OR)" 1398 22 378 38202 0.347426470588235
"small-world" 2 366 4 "Glasso" 708 34 366 38892 0.496607869742198
"small-world" 2 366 4 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 2 366 4 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 2 366 5 "Nlasso_JOE(AND)" 50 96 304 39550 0.806366047745358
"small-world" 2 366 5 "Nlasso_JOE(OR)" 334 58 342 39266 0.635687732342007
"small-world" 2 366 5 "Nlasso(AND)" 1648 18 382 37952 0.31440329218107
"small-world" 2 366 5 "Nlasso(OR)" 1580 14 386 38020 0.326289095519865
"small-world" 2 366 5 "Glasso" 838 24 376 38762 0.465923172242875
"small-world" 2 366 5 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 2 366 5 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 2 366 6 "Nlasso_JOE(AND)" 42 90 310 39558 0.824468085106383
"small-world" 2 366 6 "Nlasso_JOE(OR)" 326 42 358 39274 0.660516605166052
"small-world" 2 366 6 "Nlasso(AND)" 1584 6 394 38016 0.331370899915896
