"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"chain" 1 800 11 "Nlasso_JOE(AND)" 40 12 386 39562 0.936893203883495
"chain" 1 800 11 "Nlasso_JOE(OR)" 412 2 396 39190 0.656716417910448
"chain" 1 800 11 "Nlasso(AND)" 368 2 396 39234 0.6815834767642
"chain" 1 800 11 "Nlasso(OR)" 964 2 396 38638 0.450511945392491
"chain" 1 800 11 "Glasso" 1400 0 398 38202 0.36247723132969
"chain" 1 800 12 "Nlasso_JOE(AND)" 56 20 378 39546 0.908653846153846
"chain" 1 800 12 "Nlasso_JOE(OR)" 404 6 392 39198 0.656616415410385
"chain" 1 800 12 "Nlasso(AND)" 358 10 388 39244 0.678321678321678
"chain" 1 800 12 "Nlasso(OR)" 1018 0 398 38584 0.438809261300992
"chain" 1 800 12 "Glasso" 1484 0 398 38118 0.349122807017544
"chain" 1 800 13 "Nlasso_JOE(AND)" 40 6 392 39562 0.944578313253012
"chain" 1 800 13 "Nlasso_JOE(OR)" 444 4 394 39158 0.637540453074434
"chain" 1 800 13 "Nlasso(AND)" 336 0 398 39266 0.703180212014134
"chain" 1 800 13 "Nlasso(OR)" 968 0 398 38634 0.45124716553288
"chain" 1 800 13 "Glasso" 1400 0 398 38202 0.36247723132969
"chain" 1 800 14 "Nlasso_JOE(AND)" 48 26 372 39554 0.909535452322738
"chain" 1 800 14 "Nlasso_JOE(OR)" 430 10 388 39172 0.638157894736842
"chain" 1 800 14 "Nlasso(AND)" 360 6 392 39242 0.681739130434783
"chain" 1 800 14 "Nlasso(OR)" 1062 0 398 38540 0.428417653390743
"chain" 1 800 14 "Glasso" 1462 0 398 38140 0.352524357838795
"chain" 1 800 15 "Nlasso_JOE(AND)" 54 8 390 39548 0.926365795724466
"chain" 1 800 15 "Nlasso_JOE(OR)" 444 4 394 39158 0.637540453074434
"chain" 1 800 15 "Nlasso(AND)" 322 0 398 39280 0.711985688729875
"chain" 1 800 15 "Nlasso(OR)" 978 0 398 38624 0.448703494926719
"chain" 1 800 15 "Glasso" 1446 0 398 38156 0.355040142729706
"chain" 1 800 16 "Nlasso_JOE(AND)" 48 10 388 39554 0.930455635491607
"chain" 1 800 16 "Nlasso_JOE(OR)" 414 4 394 39188 0.653399668325041
"chain" 1 800 16 "Nlasso(AND)" 336 2 396 39266 0.700884955752212
"chain" 1 800 16 "Nlasso(OR)" 1004 2 396 38598 0.440489432703003
"chain" 1 800 16 "Glasso" 1420 2 396 38182 0.357723577235772
"chain" 1 800 17 "Nlasso_JOE(AND)" 56 8 390 39546 0.924170616113744
"chain" 1 800 17 "Nlasso_JOE(OR)" 432 6 392 39170 0.641571194762684
"chain" 1 800 17 "Nlasso(AND)" 346 2 396 39256 0.694736842105263
"chain" 1 800 17 "Nlasso(OR)" 960 2 396 38642 0.451539338654504
"chain" 1 800 17 "Glasso" 1474 2 396 38128 0.349206349206349
"chain" 1 800 18 "Nlasso_JOE(AND)" 28 20 378 39574 0.940298507462687
"chain" 1 800 18 "Nlasso_JOE(OR)" 446 16 382 39156 0.623164763458401
"chain" 1 800 18 "Nlasso(AND)" 308 6 392 39294 0.714025500910747
"chain" 1 800 18 "Nlasso(OR)" 1040 2 396 38562 0.431842966194111
"chain" 1 800 18 "Glasso" 1490 0 398 38112 0.348206474190726
"chain" 1 800 19 "Nlasso_JOE(AND)" 44 22 376 39558 0.919315403422983
"chain" 1 800 19 "Nlasso_JOE(OR)" 420 14 384 39182 0.638935108153078
"chain" 1 800 19 "Nlasso(AND)" 340 6 392 39262 0.693805309734513
"chain" 1 800 19 "Nlasso(OR)" 1050 4 394 38552 0.427795874049946
"chain" 1 800 19 "Glasso" 1470 0 398 38132 0.351279788172992
"chain" 1 800 20 "Nlasso_JOE(AND)" 70 12 386 39532 0.903981264637002
"chain" 1 800 20 "Nlasso_JOE(OR)" 428 8 390 39174 0.641447368421053
"chain" 1 800 20 "Nlasso(AND)" 330 4 394 39272 0.702317290552585
"chain" 1 800 20 "Nlasso(OR)" 932 4 394 38670 0.45707656612529
"chain" 1 800 20 "Glasso" 1450 2 396 38152 0.352941176470588
"star" 1 800 1 "Nlasso_JOE(AND)" 20 68 312 39600 0.876404494382023
"star" 1 800 1 "Nlasso_JOE(OR)" 260 0 380 39360 0.745098039215686
"star" 1 800 1 "Nlasso(AND)" 660 70 310 38960 0.459259259259259
"star" 1 800 1 "Nlasso(OR)" 1272 16 364 38348 0.361111111111111
"star" 1 800 1 "Glasso" 828 0 380 38792 0.478589420654912
"star" 1 800 2 "Nlasso_JOE(AND)" 28 60 320 39592 0.879120879120879
"star" 1 800 2 "Nlasso_JOE(OR)" 266 2 378 39354 0.73828125
"star" 1 800 2 "Nlasso(AND)" 640 52 328 38980 0.486646884272997
"star" 1 800 2 "Nlasso(OR)" 1284 14 366 38336 0.360591133004926
"star" 1 800 2 "Glasso" 784 0 380 38836 0.492227979274611
"star" 1 800 3 "Nlasso_JOE(AND)" 56 76 304 39564 0.821621621621622
"star" 1 800 3 "Nlasso_JOE(OR)" 352 6 374 39268 0.67631103074141
"star" 1 800 3 "Nlasso(AND)" 1768 66 314 37852 0.255077173030057
"star" 1 800 3 "Nlasso(OR)" 1866 26 354 37754 0.272307692307692
"star" 1 800 3 "Glasso" 956 2 378 38664 0.441073512252042
"star" 1 800 4 "Nlasso_JOE(AND)" 22 68 312 39598 0.873949579831933
"star" 1 800 4 "Nlasso_JOE(OR)" 286 4 376 39334 0.72168905950096
"star" 1 800 4 "Nlasso(AND)" 696 58 322 38924 0.46065808297568
"star" 1 800 4 "Nlasso(OR)" 1338 22 358 38282 0.344894026974952
"star" 1 800 4 "Glasso" 830 0 380 38790 0.477987421383648
"star" 1 800 5 "Nlasso_JOE(AND)" 28 68 312 39592 0.866666666666667
"star" 1 800 5 "Nlasso_JOE(OR)" 284 6 374 39336 0.720616570327553
"star" 1 800 5 "Nlasso(AND)" 1836 54 326 37784 0.256490952006294
"star" 1 800 5 "Nlasso(OR)" 1846 22 358 37774 0.277089783281734
"star" 1 800 5 "Glasso" 838 0 380 38782 0.475594493116396
"star" 1 800 6 "Nlasso_JOE(AND)" 42 78 302 39578 0.834254143646409
"star" 1 800 6 "Nlasso_JOE(OR)" 320 0 380 39300 0.703703703703704
"star" 1 800 6 "Nlasso(AND)" 708 86 294 38912 0.425470332850941
"star" 1 800 6 "Nlasso(OR)" 1316 26 354 38304 0.345365853658537
"star" 1 800 6 "Glasso" 874 6 374 38746 0.45945945945946
"star" 1 800 7 "Nlasso_JOE(AND)" 24 60 320 39596 0.883977900552486
"star" 1 800 7 "Nlasso_JOE(OR)" 248 2 378 39372 0.751491053677932
"star" 1 800 7 "Nlasso(AND)" 1806 48 332 37814 0.263701350277998
"star" 1 800 7 "Nlasso(OR)" 1704 10 370 37916 0.301548492257539
"star" 1 800 7 "Glasso" 774 0 380 38846 0.495436766623207
"star" 1 800 8 "Nlasso_JOE(AND)" 36 68 312 39584 0.857142857142857
"star" 1 800 8 "Nlasso_JOE(OR)" 260 10 370 39360 0.732673267326733
"star" 1 800 8 "Nlasso(AND)" 686 64 316 38934 0.457308248914617
"star" 1 800 8 "Nlasso(OR)" 1354 24 356 38266 0.34066985645933
"star" 1 800 8 "Glasso" 854 2 378 38766 0.468982630272953
