"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"ABA" 1 8000 12 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 12 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 13 "DBGlasso_Holm" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 13 "DBGlasso_FDR" 0 247 44 51238 0.262686567164179
"ABA" 1 8000 14 "DBGlasso_Holm" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 14 "DBGlasso_FDR" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 15 "DBGlasso_Holm" 0 261 30 51238 0.186915887850467
"ABA" 1 8000 15 "DBGlasso_FDR" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 16 "DBGlasso_Holm" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 16 "DBGlasso_FDR" 2 247 44 51236 0.261127596439169
"ABA" 1 8000 17 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 17 "DBGlasso_FDR" 0 247 44 51238 0.262686567164179
"ABA" 1 8000 18 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 18 "DBGlasso_FDR" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 19 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 19 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 20 "DBGlasso_Holm" 0 257 34 51238 0.209230769230769
"ABA" 1 8000 20 "DBGlasso_FDR" 0 251 40 51238 0.241691842900302
"ABA" 1 12000 1 "DBGlasso_Holm" 0 239 52 51238 0.303206997084548
"ABA" 1 12000 1 "DBGlasso_FDR" 0 209 82 51238 0.439678284182306
"ABA" 1 12000 2 "DBGlasso_Holm" 0 243 48 51238 0.283185840707965
"ABA" 1 12000 2 "DBGlasso_FDR" 2 215 76 51236 0.411924119241192
"ABA" 1 12000 3 "DBGlasso_Holm" 0 241 50 51238 0.293255131964809
"ABA" 1 12000 3 "DBGlasso_FDR" 0 213 78 51238 0.422764227642276
"ABA" 1 12000 4 "DBGlasso_Holm" 0 235 56 51238 0.322766570605187
"ABA" 1 12000 4 "DBGlasso_FDR" 0 233 58 51238 0.332378223495702
"ABA" 1 12000 5 "DBGlasso_Holm" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 5 "DBGlasso_FDR" 0 205 86 51238 0.456233421750663
"ABA" 1 12000 6 "DBGlasso_Holm" 0 243 48 51238 0.283185840707965
"ABA" 1 12000 6 "DBGlasso_FDR" 0 213 78 51238 0.422764227642276
"ABA" 1 12000 7 "DBGlasso_Holm" 0 243 48 51238 0.283185840707965
"ABA" 1 12000 7 "DBGlasso_FDR" 0 207 84 51238 0.448
"ABA" 1 12000 8 "DBGlasso_Holm" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 8 "DBGlasso_FDR" 0 211 80 51238 0.431266846361186
"ABA" 1 12000 9 "DBGlasso_Holm" 0 239 52 51238 0.303206997084548
"ABA" 1 12000 9 "DBGlasso_FDR" 0 233 58 51238 0.332378223495702
"ABA" 1 12000 10 "DBGlasso_Holm" 0 239 52 51238 0.303206997084548
"ABA" 1 12000 10 "DBGlasso_FDR" 0 205 86 51238 0.456233421750663
"ABA" 1 12000 11 "DBGlasso_Holm" 0 235 56 51238 0.322766570605187
"ABA" 1 12000 11 "DBGlasso_FDR" 0 205 86 51238 0.456233421750663
"ABA" 1 12000 12 "DBGlasso_Holm" 0 235 56 51238 0.322766570605187
"ABA" 1 12000 12 "DBGlasso_FDR" 0 207 84 51238 0.448
"ABA" 1 12000 13 "DBGlasso_Holm" 0 233 58 51238 0.332378223495702
"ABA" 1 12000 13 "DBGlasso_FDR" 0 231 60 51238 0.341880341880342
"ABA" 1 12000 14 "DBGlasso_Holm" 0 239 52 51238 0.303206997084548
"ABA" 1 12000 14 "DBGlasso_FDR" 0 205 86 51238 0.456233421750663
"ABA" 1 12000 15 "DBGlasso_Holm" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 15 "DBGlasso_FDR" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 16 "DBGlasso_Holm" 0 241 50 51238 0.293255131964809
"ABA" 1 12000 16 "DBGlasso_FDR" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 17 "DBGlasso_Holm" 0 245 46 51238 0.27299703264095
"ABA" 1 12000 17 "DBGlasso_FDR" 0 237 54 51238 0.31304347826087
"ABA" 1 12000 18 "DBGlasso_Holm" 0 243 48 51238 0.283185840707965
"ABA" 1 12000 18 "DBGlasso_FDR" 0 233 58 51238 0.332378223495702
"ABA" 1 12000 19 "DBGlasso_Holm" 0 239 52 51238 0.303206997084548
"ABA" 1 12000 19 "DBGlasso_FDR" 0 211 80 51238 0.431266846361186
"ABA" 1 12000 20 "DBGlasso_Holm" 0 243 48 51238 0.283185840707965
"ABA" 1 12000 20 "DBGlasso_FDR" 0 235 56 51238 0.322766570605187
"ABA" 2 5000 1 "Nlasso_JOE(AND)" 310 125 166 50928 0.432855280312907
"ABA" 2 5000 1 "Nlasso_JOE(OR)" 1043 82 209 50195 0.270900842514582
"ABA" 2 5000 1 "Nlasso(AND)" 626 147 144 50612 0.271442035815269
"ABA" 2 5000 1 "Nlasso(OR)" 502 151 140 50736 0.30010718113612
"ABA" 2 5000 1 "Glasso" 510 149 142 50728 0.301166489925769
"ABA" 2 5000 2 "Nlasso_JOE(AND)" 296 137 154 50942 0.415654520917679
"ABA" 2 5000 2 "Nlasso_JOE(OR)" 978 77 214 50260 0.288604180714767
"ABA" 2 5000 2 "Nlasso(AND)" 616 151 140 50622 0.267430754536772
"ABA" 2 5000 2 "Nlasso(OR)" 548 157 134 50690 0.275436793422405
"ABA" 2 5000 2 "Glasso" 532 139 152 50706 0.311794871794872
"ABA" 2 5000 3 "Nlasso_JOE(AND)" 328 145 146 50910 0.381699346405229
"ABA" 2 5000 3 "Nlasso_JOE(OR)" 988 83 208 50250 0.279757901815736
"ABA" 2 5000 3 "Nlasso(AND)" 594 163 128 50644 0.252714708785785
"ABA" 2 5000 3 "Nlasso(OR)" 528 157 134 50710 0.281217208814271
"ABA" 2 5000 3 "Glasso" 554 147 144 50684 0.291203235591507
"ABA" 2 5000 4 "Nlasso_JOE(AND)" 308 135 156 50930 0.413245033112583
"ABA" 2 5000 4 "Nlasso_JOE(OR)" 997 74 217 50241 0.288372093023256
"ABA" 2 5000 4 "Nlasso(AND)" 630 149 142 50608 0.267168391345249
"ABA" 2 5000 4 "Nlasso(OR)" 506 149 142 50732 0.302449414270501
"ABA" 2 5000 4 "Glasso" 512 143 148 50726 0.311251314405889
"ABA" 2 5000 5 "Nlasso_JOE(AND)" 343 138 153 50895 0.388818297331639
"ABA" 2 5000 5 "Nlasso_JOE(OR)" 985 84 207 50253 0.279163857046527
"ABA" 2 5000 5 "Nlasso(AND)" 630 151 140 50608 0.263901979264844
"ABA" 2 5000 5 "Nlasso(OR)" 564 147 144 50674 0.288288288288288
"ABA" 2 5000 5 "Glasso" 550 143 148 50688 0.299292214357937
"ABA" 2 5000 6 "Nlasso_JOE(AND)" 164 143 148 51074 0.490878938640133
"ABA" 2 5000 6 "Nlasso_JOE(OR)" 639 80 211 50599 0.369851007887818
"ABA" 2 5000 6 "Nlasso(AND)" 618 137 154 50620 0.289746001881468
"ABA" 2 5000 6 "Nlasso(OR)" 538 137 154 50700 0.313326551373347
"ABA" 2 5000 6 "Glasso" 550 129 162 50688 0.323030907278166
"ABA" 2 5000 7 "Nlasso_JOE(AND)" 282 131 160 50956 0.43656207366985
"ABA" 2 5000 7 "Nlasso_JOE(OR)" 950 73 218 50288 0.298834818368746
"ABA" 2 5000 7 "Nlasso(AND)" 604 157 134 50634 0.26044703595724
"ABA" 2 5000 7 "Nlasso(OR)" 508 149 142 50730 0.301806588735388
"ABA" 2 5000 7 "Glasso" 518 141 150 50720 0.312825860271116
"ABA" 2 5000 8 "Nlasso_JOE(AND)" 338 137 154 50900 0.393358876117497
"ABA" 2 5000 8 "Nlasso_JOE(OR)" 1052 75 216 50186 0.2771007055805
"ABA" 2 5000 8 "Nlasso(AND)" 608 145 146 50630 0.279425837320574
"ABA" 2 5000 8 "Nlasso(OR)" 530 153 138 50708 0.287799791449426
"ABA" 2 5000 8 "Glasso" 520 141 150 50718 0.312174817898023
"ABA" 2 5000 9 "Nlasso_JOE(AND)" 314 133 158 50924 0.414154652686763
"ABA" 2 5000 9 "Nlasso_JOE(OR)" 992 71 220 50246 0.292747837658017
